epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
31,0.20346932,0.0412971,-12.585681,-12.585681,320,0.0,0.0,0.0,-0.17320481994563247,-0.17320509866744463,-0.1732051990465344,-40.0,12800,nan,nan,1280,0.0,0.0,0.0,-0.1732048856590739,-0.17320509722378888,-0.17320510790025886,-40.0,51200
32,0.20353277,0.041293934,-12.895801,-12.895801,330,0.0,0.0,0.0,-0.17320508332726728,-0.17320510043526827,-0.17320517644086378,-40.0,13200,nan,nan,1320,0.0,0.0,0.0,-0.17320486937196275,-0.1732050971578026,-0.17320513680378746,-40.0,52800
33,0.20357043,0.041305408,-13.241458,-13.241458,340,0.0,0.0,0.0,-0.1732046561424729,-0.1732050928193945,-0.1732051249442868,-40.0,13600,nan,nan,1360,0.0,0.0,0.0,-0.17320485789059398,-0.17320509670447465,-0.173205121518394,-40.0,54400
34,0.20366561,0.041320696,-13.539338,-13.539338,350,0.0,0.0,0.0,-0.17320465613725242,-0.17320509709471907,-0.17320520250828286,-40.0,14000,nan,nan,1400,0.0,0.0,0.0,-0.17320491052876028,-0.17320509661419747,-0.17320511723821388,-40.0,56000
35,0.20375863,0.04130422,-13.876167,-13.876167,360,0.0,0.0,0.0,-0.17320467482967875,-0.1732051001509607,-0.1732051447068612,-40.0,14400,nan,nan,1440,0.0,0.0,0.0,-0.17320479836085184,-0.1732050958525678,-0.17320511877644176,-40.0,57600
36,0.2038314,0.041309886,-14.149973,-14.149973,370,0.0,0.0,0.0,-0.1732046964651032,-0.1732050956182119,-0.17320510447224705,-40.0,14800,nan,nan,1480,0.0,0.0,0.0,-0.17320479049542736,-0.17320509552297225,-0.1732051252191339,-40.0,59200
37,0.20379119,0.041311055,-14.477808,-14.477808,380,0.0,0.0,0.0,-0.1732046810405913,-0.17320509732955522,-0.173205105157104,-40.0,15200,nan,nan,1520,0.0,0.0,0.0,-0.1732049094336536,-0.17320509876886955,-0.17320513451780553,-40.0,60800
38,0.20378758,0.041634973,-14.780354,-14.780354,390,0.0,0.0,0.0,-0.17320488764199707,-0.17320509920563368,-0.17320510544657203,-40.0,15600,nan,nan,1560,0.0,0.0,0.0,-0.17320488693907413,-0.17605252162581195,-0.19082718992330783,-40.0,62400
39,0.20386739,0.041651297,-16.371239,-16.371239,400,0.0,0.0,0.0,-0.1732049804092092,-0.24480607630947288,-0.9354425244349999,-40.0,16000,nan,nan,1600,0.0,0.0,0.0,-0.17320476638759472,-0.1744184097641584,-0.18080086341981005,-40.0,64000
40,0.20387289,0.044849075,-14.801343,-14.801343,410,0.0,0.0,0.0,-0.1732050832092898,-0.17648074636883251,-0.21415755947640144,-40.0,16400,nan,nan,1640,0.0,0.0,0.0,-0.17320493131949483,-0.19456360707331896,-0.3253396420722453,-40.0,65600
41,0.203916,0.045393847,-15.447916,-15.447916,420,0.0,0.0,0.0,-0.17320465821610437,-0.17320509457518996,-0.17320512912721597,-40.0,16800,nan,nan,1680,0.0,0.0,0.0,-0.17320487531675907,-0.1776362661097189,-0.21222836897803918,-40.0,67200
42,0.20401375,0.047337078,-15.980779,-15.980779,430,0.0,0.0,0.0,-0.17320465541820992,-0.19040222488650851,-0.49792234141956726,-40.0,17200,nan,nan,1720,0.0,0.0,0.0,-0.16715805120997265,-0.17960439078750484,-0.2211940701084522,-40.0,68800
43,0.2038699,0.048186917,-15.899217,-15.899217,440,0.0,0.0,0.0,-0.17320467305148834,-0.1754045418708227,-0.2000427134180808,-40.0,17600,nan,nan,1760,0.0,0.0,0.0,-0.17228290115701522,-0.17937628762502217,-0.2125681686445524,-40.0,70400
44,0.20400353,0.049529206,-16.183952,-16.183952,450,0.0,0.0,0.0,-0.1732047000775258,-0.174678497437132,-0.18644443750842649,-40.0,18000,nan,nan,1800,0.0,0.0,0.0,-0.1682702692470938,-0.19140499095616986,-0.31197459909738534,-40.0,72000
45,0.20386225,0.050757915,-16.995913,-16.995913,460,0.0,0.0,0.0,-0.1732046546179419,-0.17385762054469533,-0.18761369928314808,-40.0,18400,nan,nan,1840,0.0,0.0,0.0,-0.16353963169882846,-0.17447276736924727,-0.19113952312676422,-40.0,73600
46,0.20392267,0.051353112,-17.031256,-17.031256,470,0.0,0.0,0.0,-0.17320471626691014,-0.17446359866982536,-0.18979151182588805,-40.0,18800,nan,nan,1880,0.0,0.0,0.0,-0.16277357358682673,-0.19142895986759698,-0.35136215382060043,-40.0,75200
47,0.20401558,0.053392153,-17.1591,-17.1591,480,0.0,0.0,0.0,-0.17320041616462345,-0.19030034067659446,-0.5023007820411642,-40.0,19200,nan,nan,1920,0.0,0.0,0.0,-0.17320487057723385,-0.19216194809766465,-0.299753321649718,-40.0,76800
48,0.2041655,0.05666559,-17.48948,-17.48948,490,0.0,0.0,0.0,-0.17320466228899684,-0.1836779809907248,-0.5036807283631525,-40.0,19600,nan,nan,1960,0.0,0.0,0.0,-0.16438747145347482,-0.21326375248473656,-0.4185076236603029,-40.0,78400
49,0.20416264,0.057403296,-17.945599,-17.945599,500,0.0,0.0,0.0,-0.17320471460026782,-0.17351055962933223,-0.18991602304111047,-40.0,20000,nan,nan,2000,0.0,0.0,0.0,-0.1689897628404869,-0.1857406616776574,-0.30020558075874976,-40.0,80000
