mode,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
online,63,19.92347550392151,False,,,64,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-26-51,1600720011,1304.7289354801178,6940,antarctica,142.1.44.25,1304.7289354801178,0,64,bca27_00000,0_seed=0
online,64,19.965019941329956,False,,,65,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-27-11,1600720031,1324.6939554214478,6940,antarctica,142.1.44.25,1324.6939554214478,0,65,bca27_00000,0_seed=0
online,65,19.995795011520386,False,,,66,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-27-31,1600720051,1344.6897504329681,6940,antarctica,142.1.44.25,1344.6897504329681,0,66,bca27_00000,0_seed=0
online,66,19.91347360610962,False,,,67,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-27-50,1600720070,1364.6032240390778,6940,antarctica,142.1.44.25,1364.6032240390778,0,67,bca27_00000,0_seed=0
online,67,23.653971433639526,False,,,68,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-28-14,1600720094,1388.2571954727173,6940,antarctica,142.1.44.25,1388.2571954727173,0,68,bca27_00000,0_seed=0
online,68,20.185943841934204,False,,,69,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-28-34,1600720114,1408.4431393146515,6940,antarctica,142.1.44.25,1408.4431393146515,0,69,bca27_00000,0_seed=0
online,69,20.0930392742157,False,,,70,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-28-54,1600720134,1428.5361785888672,6940,antarctica,142.1.44.25,1428.5361785888672,0,70,bca27_00000,0_seed=0
online,70,20.046017169952393,False,,,71,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-29-14,1600720154,1448.5821957588196,6940,antarctica,142.1.44.25,1448.5821957588196,0,71,bca27_00000,0_seed=0
online,71,20.15297031402588,False,,,72,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-29-35,1600720175,1468.7351660728455,6940,antarctica,142.1.44.25,1468.7351660728455,0,72,bca27_00000,0_seed=0
online,72,20.153127908706665,False,,,73,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-29-55,1600720195,1488.8882939815521,6940,antarctica,142.1.44.25,1488.8882939815521,0,73,bca27_00000,0_seed=0
online,73,20.18140721321106,False,,,74,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-30-15,1600720215,1509.0697011947632,6940,antarctica,142.1.44.25,1509.0697011947632,0,74,bca27_00000,0_seed=0
online,74,20.086981296539307,False,,,75,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-30-35,1600720235,1529.1566824913025,6940,antarctica,142.1.44.25,1529.1566824913025,0,75,bca27_00000,0_seed=0
online,75,20.63368248939514,False,,,76,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-30-56,1600720256,1549.7903649806976,6940,antarctica,142.1.44.25,1549.7903649806976,0,76,bca27_00000,0_seed=0
online,76,20.10815453529358,False,,,77,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-31-16,1600720276,1569.8985195159912,6940,antarctica,142.1.44.25,1569.8985195159912,0,77,bca27_00000,0_seed=0
online,77,20.047571420669556,False,,,78,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-31-36,1600720296,1589.9460909366608,6940,antarctica,142.1.44.25,1589.9460909366608,0,78,bca27_00000,0_seed=0
online,78,20.096414804458618,False,,,79,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-31-56,1600720316,1610.0425057411194,6940,antarctica,142.1.44.25,1610.0425057411194,0,79,bca27_00000,0_seed=0
online,79,20.229663133621216,False,,,80,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-32-16,1600720336,1630.2721688747406,6940,antarctica,142.1.44.25,1630.2721688747406,0,80,bca27_00000,0_seed=0
online,80,20.103485822677612,False,,,81,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-32-36,1600720356,1650.3756546974182,6940,antarctica,142.1.44.25,1650.3756546974182,0,81,bca27_00000,0_seed=0
online,81,20.111952543258667,False,,,82,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-32-56,1600720376,1670.4876072406769,6940,antarctica,142.1.44.25,1670.4876072406769,0,82,bca27_00000,0_seed=0
online,82,20.098795413970947,False,,,83,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-33-16,1600720396,1690.5864026546478,6940,antarctica,142.1.44.25,1690.5864026546478,0,83,bca27_00000,0_seed=0
online,83,20.078535556793213,False,,,84,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-33-37,1600720417,1710.664938211441,6940,antarctica,142.1.44.25,1710.664938211441,0,84,bca27_00000,0_seed=0
online,84,24.584360361099243,False,,,85,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-34-01,1600720441,1735.2492985725403,6940,antarctica,142.1.44.25,1735.2492985725403,0,85,bca27_00000,0_seed=0
online,85,20.14100193977356,False,,,86,b4c0d7d6b0eb4e229482556faaeb9643,2020-09-21_16-34-21,1600720461,1755.3903005123138,6940,antarctica,142.1.44.25,1755.3903005123138,0,86,bca27_00000,0_seed=0
