loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[158.04651],0,,,,,,,,,,
[25.826914],100,,,,,,,,,,
[17.897734],200,,,,,,,,,,
[17.744488],300,,,,,,,,,,
[16.15552],400,,,,,,,,,,
[14.669752],500,,,,,,,,,,
[10.270376],600,,,,,,,,,,
[13.483137],700,,,,,,,,,,
[8.9954405],800,,,,,,,,,,
[8.217119],900,,,,,,,,,,
[10.530596],1000,,,,,,,,,,
[10.554457],1100,,,,,,,,,,
[6.4271793],1200,,,,,,,,,,
[6.98433],1300,,,,,,,,,,
[8.518332],1400,,,,,,,,,,
[6.896497],1500,,,,,,,,,,
[7.8760266],1600,,,,,,,,,,
[7.2642207],1700,,,,,,,,,,
[7.794849],1800,,,,,,,,,,
[9.755046],1900,,,,,,,,,,
,,85,0.87634605,0.10654417,0.20394844,0.06268886,1720.0,-45.95381,0.0,17204.0,0.015
,,86,0.87634915,0.10651819,0.203954,0.06257265,1740.0,-45.631912,0.0,17404.0,0.055
,,87,0.87636846,0.106498905,0.20395054,0.06242563,1760.0,-43.12878,0.05,17604.0,0.03
,,88,0.8763091,0.10648767,0.2039577,0.06231464,1780.0,-41.33154,0.1,17804.0,0.035
,,89,0.87629384,0.10650549,0.20395578,0.062192287,1800.0,-43.942474,0.0,18004.0,0.04
,,90,0.8762774,0.10647396,0.20395409,0.062148284,1820.0,-46.457287,0.0,18204.0,0.045
,,91,0.8762989,0.10645714,0.20394816,0.062066127,1840.0,-43.323875,0.05,18404.0,0.04
,,92,0.87627345,0.10646524,0.2039421,0.06202704,1860.0,-42.17432,0.1,18604.0,0.035
,,93,0.8762433,0.10647603,0.20396425,0.061963502,1880.0,-44.262646,0.05,18804.0,0.03
,,94,0.8762679,0.1064842,0.20396389,0.06188308,1900.0,-40.499336,0.05,19004.0,0.015
,,95,0.87628585,0.10648791,0.2039572,0.061791398,1920.0,-41.47794,0.05,19204.0,0.03
,,96,0.87628627,0.10648805,0.20395628,0.06183134,1940.0,-43.78131,0.0,19404.0,0.02
,,97,0.8763551,0.10644742,0.20394671,0.0618444,1960.0,-43.96295,0.0,19604.0,0.045
,,98,0.87630606,0.10644535,0.20394728,0.061754953,1980.0,-44.876373,0.0,19804.0,0.04
,,99,0.8763476,0.106467135,0.20394515,0.06170509,2000.0,-47.89811,0.0,20004.0,0.045
