epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
36,0.2006612,0.11097867,-8.794827,-8.794827,370,1.0,0.3975,0.0,-0.002785280249575418,-0.10508182734767256,-0.21859363975311044,-24.1,14800,nan,nan,1480,0.5,0.048125,0.0,-0.07612464848956667,-0.1815185111811904,-0.3709687389626434,-38.075,59200
37,0.20093481,0.11183626,-9.444505,-9.444505,380,1.0,0.295,0.0,-0.003886663354414664,-0.1134702247502239,-0.2073804024177814,-28.2,15200,nan,nan,1520,0.3,0.025625,0.0,-0.10059133731963794,-0.2067585153058285,-0.4445131893460462,-38.975,60800
38,0.20088126,0.11275335,-7.9197736,-7.9197736,390,1.0,0.4725,0.0,-0.009167620440089539,-0.09977442727341139,-0.18689933830489217,-21.1,15600,nan,nan,1560,0.6,0.057499999999999996,0.0,-0.06276885131031712,-0.1978069701146481,-0.42966330238434997,-37.7,62400
39,0.20065336,0.113270216,-7.4353275,-7.4353275,400,1.0,0.4675,0.0,-0.0034673238091244996,-0.09171365499900005,-0.1732051053625134,-21.3,16000,nan,nan,1600,0.6,0.060625,0.0,-0.07061152914231475,-0.16620986166456647,-0.25361454191493277,-37.575,64000
40,0.20054421,0.113655634,-10.124351,-10.124351,410,1.0,0.3175,0.0,-0.005063920217871988,-0.12735716929845897,-0.2075381964490841,-27.3,16400,nan,nan,1640,0.2,0.025625,0.0,-0.09751231299402319,-0.21690489253182393,-0.4284183588946406,-38.975,65600
41,0.20055793,0.11381698,-13.259631,-13.259631,420,1.0,0.13,0.0,-0.006748129996068985,-0.13828208000168243,-0.18612448195543763,-34.8,16800,nan,nan,1680,0.2,0.008749999999999999,0.0,-0.09907169293150092,-0.18790500268471483,-0.3169068434315658,-39.65,67200
42,0.20052963,0.11412228,-7.2931185,-7.2931185,430,1.0,0.495,0.0,-0.008314693347556384,-0.08340216039868505,-0.17662543719027488,-20.2,17200,nan,nan,1720,0.3,0.03,0.0,-0.10615974622541106,-0.21001536012969652,-0.42769039071108556,-38.8,68800
43,0.20038986,0.114543706,-8.342237,-8.342237,440,1.0,0.4875,0.0,-0.003453150148066038,-0.08690108370085867,-0.23732794566323837,-20.5,17600,nan,nan,1760,0.6,0.05625,0.0,-0.06949146224139337,-0.18469187880959867,-0.38373338908997534,-37.75,70400
44,0.20069356,0.11526697,-7.5402923,-7.5402923,450,1.0,0.435,0.0,-0.003186909782599123,-0.10744902276818503,-0.2992258218971815,-22.6,18000,nan,nan,1800,0.3,0.013750000000000002,0.0,-0.10855463433920551,-0.2065121123745929,-0.4898221835785215,-39.45,72000
45,0.200878,0.1156776,-8.2347355,-8.2347355,460,1.0,0.4625,0.0,-0.001965783466022175,-0.09653855073840058,-0.21562040709285488,-21.5,18400,nan,nan,1840,0.4,0.019999999999999997,0.0,-0.09599283241549277,-0.21003381155158724,-0.5170982403815894,-39.2,73600
46,0.20094319,0.1156266,-10.152316,-10.152316,470,1.0,0.32,0.0,-0.005230859704532574,-0.10629133548431875,-0.1994152306592382,-27.2,18800,nan,nan,1880,0.2,0.01,0.0,-0.11789724538353052,-0.18690875991867542,-0.2928270054205701,-39.6,75200
47,0.20080976,0.11610706,-6.8588853,-6.8588853,480,1.0,0.525,0.0,-0.0027375051566158127,-0.07868240609853229,-0.19080823245945336,-19.0,19200,nan,nan,1920,0.5,0.045,0.0,-0.07851850415949387,-0.18727863941180345,-0.3389588825916333,-38.2,76800
48,0.2007845,0.11631617,-9.264207,-9.264207,490,1.0,0.3975,0.0,-0.0027880336408276697,-0.09990039690579712,-0.18648979096127705,-24.1,19600,nan,nan,1960,0.3,0.028125,0.0,-0.10142555650116584,-0.18097288450608742,-0.2999171691888021,-38.875,78400
49,0.20085771,0.1164205,-7.3862596,-7.3862596,500,1.0,0.4775,0.0,-0.002338476019979445,-0.08985035764005034,-0.19720497735474793,-20.9,20000,nan,nan,2000,0.6,0.0625,0.0,-0.05978794558872867,-0.18649809020031477,-0.3984549173341442,-37.5,80000
50,0.20080723,0.116578,-7.7311707,-7.7311707,510,1.0,0.4925,0.0,-0.003499769116171651,-0.08313131919407717,-0.18543415651827258,-20.3,20400,nan,nan,2040,0.4,0.019374999999999996,0.0,-0.07137485110467327,-0.18257763720061235,-0.30148444340272323,-39.225,81600
51,0.20074013,0.11707844,-6.602367,-6.602367,520,1.0,0.5525,0.0,-0.001016446645169305,-0.07392393505378414,-0.1871795698931806,-17.9,20800,nan,nan,2080,0.4,0.04,0.0,-0.09067932858954059,-0.1835229189047393,-0.31520609471328626,-38.4,83200
52,0.20076162,0.116788864,-5.3141747,-5.3141747,530,1.0,0.6025,0.0,-0.0020658050867794196,-0.06949846139817478,-0.18804448852975145,-15.9,21200,nan,nan,2120,0.4,0.025,0.0,-0.08147101731247043,-0.1762084656564547,-0.30788080682165087,-39.0,84800
53,0.20067857,0.1168284,-9.29064,-9.29064,540,1.0,0.42,0.0,-0.0029125572554544324,-0.09583277829007475,-0.2795065387041508,-23.2,21600,nan,nan,2160,0.6,0.0475,0.0,-0.06670390128007112,-0.18696040638040992,-0.4152399175629505,-38.1,86400
54,0.20059592,0.1169605,-11.915191,-11.915191,550,1.0,0.3275,0.0,-0.0005050931626489661,-0.106467798928057,-0.21133281121568837,-26.9,22000,nan,nan,2200,0.5,0.05,0.0,-0.05907898087163357,-0.1773519968368121,-0.32587983726252856,-38.0,88000
55,0.20067881,0.11702615,-10.373538,-10.373538,560,1.0,0.345,0.0,-0.0012870732684859014,-0.09663187216989896,-0.1746235657970344,-26.2,22400,nan,nan,2240,0.5,0.040625,0.0,-0.06409335657882223,-0.17466796417353728,-0.2884643530628536,-38.375,89600
56,0.20076433,0.11732874,-6.844908,-6.844908,570,1.0,0.5125,0.0,-0.0012913443783343658,-0.07852563650891635,-0.1806358069909564,-19.5,22800,nan,nan,2280,0.2,0.0125,0.0,-0.10303969864107818,-0.20398424860675107,-0.4089809851492352,-39.5,91200
57,0.20078334,0.117703535,-9.779447,-9.779447,580,1.0,0.4125,0.0,-0.001272203610188087,-0.10234888588378777,-0.3243528578307856,-23.5,23200,nan,nan,2320,0.2,0.011875,0.0,-0.10574088999647388,-0.19864211444441437,-0.37209927072131055,-39.525,92800
58,0.2007135,0.11792688,-10.024622,-10.024622,590,1.0,0.365,0.0,-0.0014498230169307552,-0.1028088177346067,-0.18591122887531317,-25.4,23600,nan,nan,2360,0.2,0.011875,0.0,-0.08256353824971553,-0.20659554217171583,-0.5936338068655714,-39.525,94400
59,0.20093888,0.11831818,-7.5063105,-7.5063105,600,1.0,0.495,0.0,-0.0008754700003192298,-0.08286677260954028,-0.1908507081349869,-20.2,24000,nan,nan,2400,0.2,0.019375,0.0,-0.09927295213102874,-0.20357595991022528,-0.44023118684603346,-39.225,96000
60,0.20104828,0.11885435,-8.729733,-8.729733,610,1.0,0.4425,0.0,-0.0025592574149356337,-0.09391977967015105,-0.18597865902671543,-22.3,24400,nan,nan,2440,0.3,0.014374999999999999,0.0,-0.10066744236985033,-0.2128545903564024,-0.5635754060553567,-39.425,97600
61,0.20106195,0.11923726,-8.183101,-8.183101,620,1.0,0.45,0.0,-0.0026085738050083433,-0.09097181053793381,-0.18155355116352442,-22.0,24800,nan,nan,2480,0.4,0.038125000000000006,0.0,-0.0861107550156455,-0.19566746284560715,-0.4215713862596949,-38.475,99200
